installation_date,PV_system_size_DC,total_installed_price,rebate_or_grant,customer_segment,state,zip_code,utility_service_territory,third_party_owned,installer_name,tracking,ground_mounted,azimuth_1,tilt_1,module_manufacturer_1,module_model_1,module_quantity_1,technology_module_1,efficiency_module_1,inverter_manufacturer_1,inverter_model_1,output_capacity_inverter_1,inverter_loading_ratio,battery_rated_capacity_kWh,price_per_watt
12-03-2015,4.68,21060,6246,RES,CA,92314,bear valley electric,0,Sungevity,,,,,REC Solar,REC260TP BLK,18,Multi-c-Si,0.15757433,SMA America,sb4000tl-us-22 [240v],4.05,1.1555556,,4.5
12-03-2015,6.3,36599,7341,RES,CA,92315,bear valley electric,0,Pierro Construction,,,,,Stion,STL-140,15,Thin Film,0.12887357,SolarEdge Technologies Ltd.,se5000 [240v],4.99,1.2625251,,5.809365079
28-03-2015,3.5,16000,4860,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,Jiangyin Hareon Power,HR-250P-AC/Bb,14,Multi-c-Si,0.15404409,Enphase Energy Inc.,m215-60-2ll-s2x,0.215,1.1627907,,4.571428571
05-03-2015,1.8,17750,1957,RES,CA,92315,bear valley electric,0,R E Pierro Construction,,,,,Stion,STN-150,12,Thin Film,0.13807882,SMA America,sb3000tl-us-22 [240v],3.05,0.59016395,,9.861111111
05-03-2015,5.4,22500,7271,RES,CA,92315,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,20,-1,,-1,-1,,,,4.166666667
24-04-2015,3.36,10000,4551,RES,CA,92314,bear valley electric,0,Barneybilt Construction,,,,,-1,-1,12,-1,,SMA America,sb4000tl-us-22 [240v],4.05,0.8296296,,2.976190476
01-05-2015,3.36,15442,,RES,CA,92315,bear valley electric,0,Desert Solar,,,,,-1,-1,12,-1,,-1,-1,,,,4.595833333
09-07-2014,2.5,10500,3452,RES,CA,92315,bear valley electric,0,Steve Cooper Construction,,,,,Jiangyin Hareon Power,HR-250P-AC/Bb,10,Multi-c-Si,0.15404409,Enphase Energy Inc.,m215-60-2ll-s2x,0.215,1.1627907,,4.2
13-04-2015,7.848,30211,9955,RES,CA,92315,bear valley electric,0,Suntime Energy,,,,,SunPower,SPR-E20-327,24,Mono-c-Si,0.2006135,SMA America,sb3800us [240v],4.05,0.9688889,,3.8495158
04-06-2015,4.4,18500,6050,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,16,-1,,-1,-1,,,,4.204545455
13-05-2015,3.9,15900,5267,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,14,-1,,-1,-1,,,,4.076923077
06-10-2014,3.2,15000,4337,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,12,-1,,-1,-1,,,,4.6875
13-05-2015,5.13,20095,6290,RES,CA,92315,bear valley electric,0,Inland Empower Homes,,,,,American Solar Wholesale,ASW-285M,18,Mono-c-Si,0.14732793,SolarEdge Technologies Ltd.,se3800a-us,3.79,1.353562,,3.917153996
14-05-2014,5.31,16761,7251,RES,CA,92314,bear valley electric,0,Desert Solar,,,,,ET Solar Industry,ET-P672295WB,18,Multi-c-Si,0.15203427,SMA America,sb6000us,6,0.885,,3.156497175
14-05-2014,2.36,7616,3996,RES,CA,92314,bear valley electric,0,Desert Solar,,,,,ET Solar Industry,ET-P672295WB,8,Multi-c-Si,0.15203427,SMA America,sb3800us,4.05,0.58271605,,3.227118644
19-05-2015,5.72,22880,7571,RES,CA,92314,bear valley electric,0,Sungevity,,,,,REC Solar,REC260TP BLK,22,Multi-c-Si,0.15757433,SolarEdge Technologies Ltd.,se5000h-us [240v],5.052,1.1322249,,4
14-05-2015,5.6,22000,7045,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,20,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1666666,,3.928571429
19-05-2015,3.64,14560,4945,RES,CA,92315,bear valley electric,0,Sungevity,,,,,REC Solar,REC260TP BLK,14,Multi-c-Si,0.15757433,SolarEdge Technologies Ltd.,se3800a-us [240v],3.79,0.96042216,,4
26-05-2015,3.3,31550,,RES,CA,92314,bear valley electric,0,True Power Solar,,,,,American Solar Wholesale,ASW-275M,12,Mono-c-Si,0.14215854,-1,-1,,,,9.560606061
15-05-2015,7.28,31100,9506,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,26,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na),0.24,1.1666666,,4.271978022
11-05-2015,2.8,10595.74,3627,RES,CA,92386,bear valley electric,0,Pacific Pro Solar,,,,,-1,-1,8,-1,,-1,-1,,,,3.784192857
21-05-2015,10.64,41800,13260,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,38,-1,,-1,-1,,,,3.928571429
21-05-2015,5.46,25560,1493,RES,CA,92315,bear valley electric,0,Sungevity,,,,,REC Solar,REC260TP BLK,21,Multi-c-Si,0.15757433,Enphase Energy Inc.,m215-60-2ll-s2x,0.215,1.2093023,,4.681318681
26-05-2015,3.6,14500,3768,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,12,-1,,-1,-1,,,,4.027777778
26-05-2015,3.3,13500,3613,RES,CA,92386,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,12,-1,,-1,-1,,,,4.090909091
09-06-2015,6.4,23168,6482,RES,CA,92314,bear valley electric,0,Desert Solar,,,,,Renesola America,JC305M-24/Axh,21,Multi-c-Si,0.15718797,-1,-1,,,,3.62
10-06-2015,6.7,26500,7343,RES,CA,92386,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,24,-1,,-1,-1,,,,3.955223881
22-06-2015,6.72,28150,5721,RES,CA,92315,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,24,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1666666,,4.188988095
09-06-2015,6.2,26600,6167,RES,CA,92315,bear valley electric,0,Sea Bright Solar,,,,,Canadian Solar Inc.,-1,24,-1,,-1,-1,,,,4.290322581
23-06-2015,4.4,17900,5019,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,16,-1,,-1,-1,,,,4.068181818
23-06-2015,4.48,17600,4928,RES,CA,92315,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,16,-1,,-1,-1,,,,3.928571429
01-09-2015,4.3,22900,4694,RES,CA,92314,bear valley electric,0,Scc Solar Energy,,,,,SunEdison,MEMC-F270KzC-2y,16,Mono-c-Si,0.16429354,Enphase Energy Inc.,m250-72-2ll-s2x [240v],0.24,1.1197916,,5.325581395
02-07-2015,3.12,14995,4190,RES,CA,92315,bear valley electric,0,Renewable Energy Advantage,,,,,Canadian Solar Inc.,CS6P-255MM,12,Mono-c-Si,0.1646452,Enphase Energy Inc.,m215-60-2ll-s2x [208v],0.215,1.2093023,,4.806089744
22-06-2015,4.5,25536,5063,RES,CA,92315,bear valley electric,0,Suntricity,,,,,American Solar Wholesale,ASW-280M,16,Mono-c-Si,0.14474323,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.171875,,5.674666667
22-06-2015,3.4,19804,3688,RES,CA,92315,bear valley electric,0,Suntricity,,,,,American Solar Wholesale,ASW-280M,12,Mono-c-Si,0.14474323,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1805556,,5.824705882
26-06-2015,3.3,12500,3423,RES,CA,92315,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,12,-1,,-1,-1,,,,3.787878788
22-06-2015,2.8,15900,3171,RES,CA,92315,bear valley electric,0,Suntricity,,,,,American Solar Wholesale,ASW-280M,10,Mono-c-Si,0.14474323,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1666666,,5.678571429
06-07-2015,3.3,13500,3504,RES,CA,92333,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,12,-1,,-1,-1,,,,4.090909091
16-07-2015,5.94,29100,5458,RES,CA,92314,bear valley electric,0,Socal Custom,,,,,SunEdison,MEMC-F270KzC-2y,22,Mono-c-Si,0.16429354,Enphase Energy Inc.,m250-72-2ll-s2x [240v],0.24,1.125,,4.898989899
21-08-2015,3.9,19508,4330,RES,CA,92315,bear valley electric,0,Tesla,,,,,Kyocera Solar,KU260-6XPA,15,Multi-c-Si,0.16390827,SolarEdge Technologies Ltd.,se3800a-us [240v],3.79,1.0290238,,5.002051282
21-08-2015,7.52,33500,7475,RES,CA,92315,bear valley electric,0,Barneybilt Construction,,,,,-1,-1,30,-1,,-1,-1,,,,4.454787234
21-08-2015,10.92,46800,11631,RES,CA,92314,bear valley electric,0,Bear Mountain Solar Energy,,,,,-1,-1,39,-1,,Enphase Energy Inc.,m250-60-2ll-s2x (-zc) (-na) [240v],0.24,1.1666666,,4.285714286
12-08-2015,7.15,40307,7510,RES,CA,92314,bear valley electric,0,Burke Electric,,,,,American Solar Wholesale,ASW-275M,26,Mono-c-Si,0.14215854,Enphase Energy Inc.,m215-60-2ll-s2x [208v],0.215,1.2790698,,5.637342657
31-07-2015,3.5,12400,3846,RES,CA,92315,bear valley electric,0,Ds Energy Solutions,,,,,ET Solar Industry,ET-A-P672295,12,Multi-c-Si,0.15156466,-1,-1,,,,3.542857143
04-08-2015,5.2,26000,3371,RES,CA,92314,bear valley electric,0,Sea Bright Solar,,,,,SunPower,-1,16,-1,,SolarEdge Technologies Ltd.,se3000,3.01,0.86378735,,5
01-09-2015,3.08,11396,2939,RES,CA,92314,bear valley electric,0,Photon Brothers,,,,,American Solar Wholesale,ASW-280M,11,Mono-c-Si,0.14474323,SMA America,sb3000tl-us-22 [240v],3.05,1.0098361,,3.7
25-08-2015,5.7,31548,3696,RES,CA,92315,bear valley electric,0,Ds Energy Solutions,,,,,"CSI Solar Co., Ltd.",CS6P-260P,22,Multi-c-Si,0.16787353,-1,-1,,,,5.534736842
28-08-2015,6.84,29754,5104,RES,CA,92314,bear valley electric,0,Smart Solar Power,,,,,American Solar Wholesale,ASW-285M,14,Mono-c-Si,0.14732793,-1,-1,,,,4.35
16-10-2015,5.886,31000,4333,RES,CA,92314,bear valley electric,1,Sunpro Solar,,,,,SunPower,SPR-327NE-WHT-D,18,Mono-c-Si,0.20052566,SMA America,sb5000tl-us-22 [240v],5.05,1.1655445,,5.266734625
01-10-2015,4.4,18500,4207,RES,CA,92314,bear valley electric,0,Steve Cooper Construction,,,,,-1,-1,16,-1,,-1,-1,,,,4.204545455
22-10-2015,3.135,14327,2191,RES,CA,92315,bear valley electric,0,Smart Solar Power,,,,,American Solar Wholesale,ASW-285M,11,Mono-c-Si,0.14732793,-1,-1,,,,4.570015949
